INFO | From root -> update line no: 80 | Successfully updated with latest commit.
INFO | From root -> update line no: 81 | Repo in use: https://gitlab.com/Dawn-India/Z-Mirror
INFO | From root -> update line no: 82 | Branch in use: upstream
WARNING | From root -> __init__ line no: 298 | BASE_URL not provided!
INFO | From root -> __init__ line no: 299 | Torrent select wont work.
INFO | From root -> __init__ line no: 540 | Starting qBittorrent-Nox
INFO | From root -> __init__ line no: 575 | Starting Aria2c
INFO | From root -> __init__ line no: 618 | qBittorrent-Nox started!
INFO | From root -> __init__ line no: 620 | Creating client from BOT_TOKEN
INFO | From pyrogram.session.auth -> auth line no: 83 | Start creating a new auth key on DC2
INFO | From pyrogram.connection.connection -> connection line no: 57 | Connecting...
INFO | From pyrogram.connection.connection -> connection line no: 64 | Connected! Production DC2 - IPv4 - TCPAbridgedO
INFO | From pyrogram.session.auth -> auth line no: 250 | Done auth key exchange: DhGenOk
INFO | From pyrogram.connection.connection -> connection line no: 78 | Disconnected
INFO | From pyrogram.connection.connection -> connection line no: 57 | Connecting...
INFO | From pyrogram.connection.connection -> connection line no: 64 | Connected! Production DC2 - IPv4 - TCPAbridgedO
INFO | From pyrogram.session.session -> session line no: 272 | NetworkTask started
INFO | From pyrogram.session.internals.msg_id -> msg_id line no: 45 | Time synced: 2023-09-07 18:01:46.989077 UTC
INFO | From pyrogram.session.session -> session line no: 132 | Session initialized: Layer 161
INFO | From pyrogram.session.session -> session line no: 133 | Device: CPython 3.10.12 - Pyrogram 2.2.10
INFO | From pyrogram.session.session -> session line no: 134 | System: Linux 4.4.0-1104-aws (EN)
INFO | From pyrogram.session.session -> session line no: 149 | Session started
INFO | From pyrogram.session.session -> session line no: 250 | PingTask started
INFO | From pyrogram.session.session -> session line no: 269 | PingTask stopped
INFO | From pyrogram.connection.connection -> connection line no: 78 | Disconnected
INFO | From pyrogram.session.session -> session line no: 288 | NetworkTask stopped
INFO | From pyrogram.session.session -> session line no: 175 | Session stopped
INFO | From pyrogram.session.auth -> auth line no: 83 | Start creating a new auth key on DC1
INFO | From pyrogram.connection.connection -> connection line no: 57 | Connecting...
INFO | From pyrogram.connection.connection -> connection line no: 64 | Connected! Production DC1 - IPv4 - TCPAbridgedO
INFO | From pyrogram.session.auth -> auth line no: 250 | Done auth key exchange: DhGenOk
INFO | From pyrogram.connection.connection -> connection line no: 78 | Disconnected
INFO | From pyrogram.connection.connection -> connection line no: 57 | Connecting...
INFO | From pyrogram.connection.connection -> connection line no: 64 | Connected! Production DC1 - IPv4 - TCPAbridgedO
INFO | From pyrogram.session.session -> session line no: 272 | NetworkTask started
INFO | From pyrogram.session.session -> session line no: 132 | Session initialized: Layer 161
INFO | From pyrogram.session.session -> session line no: 133 | Device: CPython 3.10.12 - Pyrogram 2.2.10
INFO | From pyrogram.session.session -> session line no: 134 | System: Linux 4.4.0-1104-aws (EN)
INFO | From pyrogram.session.session -> session line no: 149 | Session started
INFO | From pyrogram.session.session -> session line no: 250 | PingTask started
INFO | From pyrogram.dispatcher -> dispatcher line no: 154 | Started 1000 HandlerTasks
INFO | From bot -> telegraph_helper line no: 20 | Creating Telegraph Account
INFO | From httpx -> _client line no: 1729 | HTTP Request: POST https://api.graph.org/createAccount/ "HTTP/1.1 200 OK"
INFO | From bot -> db_handler line no: 63 | Users data has been imported from Database
INFO | From apscheduler.scheduler -> base line no: 454 | Adding job tentatively -- it will be properly scheduled when the scheduler starts
INFO | From apscheduler.scheduler -> base line no: 895 | Added job "RSS" to job store "default"
INFO | From apscheduler.scheduler -> base line no: 181 | Scheduler started
INFO | From root -> __init__ line no: 586 | Aria2c started!
INFO | From bot -> __main__ line no: 384 | Congratulations, Bot Started Successfully!
